Rank_2005,Country_2005,Volume_2005_Billion,Rank_2023,Country_2023,Volume_2023_Billion
1,United States,405.931219688,1,United States,1549.7134810339999
2,United Kingdom,358.762153925,2,United Kingdom,917.7714289719999
3,Germany,163.07291977499997,3,Ireland,777.9059479699999
4,Netherlands,161.762185703,4,Germany,545.094490626
5,France,141.500316553,5,India,538.856691817
6,Ireland,97.312576161,6,China (People’s Republic of),438.079709882
7,Switzerland,94.82909479799999,7,Singapore,422.33164104
8,Japan,81.836934502,8,Netherlands,419.973352433
9,India,74.950148127,9,France,407.989834713
10,Italy,73.371386563,10,Japan,253.436394507
