TIME_PERIOD,REF_AREA,Out_Degree_Centrality,Trend,Volatility,Express,Inexpress,True_Resilience
2005,ABW,0.7409326424870467,0.7471924871011838,0.006259844614137089,0.008377820604731788,-4.782048113684998,4.782048113684998
2006,ABW,0.7589743589743589,0.7454926076769699,0.013481751297389044,0.018084352760250083,-4.0126529080868005,4.0126529080868005
2007,ABW,0.7333333333333333,0.7427911531144943,0.009457819781161003,0.01273281156016026,-4.3634944956623185,4.3634944956623185
2008,ABW,0.717948717948718,0.7402436284830775,0.022294910534359502,0.030118341687110084,-3.502587732626944,3.502587732626944
2009,ABW,0.7538461538461538,0.7374922876870541,0.016353866159099728,0.022174965666948498,-3.808746204183432,3.808746204183432
2010,ABW,0.7333333333333333,0.7306121989452617,0.0027211343880715333,0.003724457916251414,-5.592565504168661,5.592565504168661
2011,ABW,0.7360406091370558,0.7182950490619939,0.017745560075061895,0.02470511261108571,-3.700704591831853,3.700704591831853
2012,ABW,0.7360406091370558,0.6996679063436351,0.03637270279342075,0.05198566700522155,-2.9567679970235097,2.9567679970235097
2013,ABW,0.649746192893401,0.6766971287085797,0.02695093581517871,0.03982717625330011,-3.2231806711045334,3.2231806711045334
2014,ABW,0.6345177664974618,0.6571687065221695,0.02265094002470769,0.03446746596407442,-3.3677104029518135,3.3677104029518135
2015,ABW,0.6345177664974618,0.644556480419318,0.01003871392185618,0.015574607077607017,-4.162049237372757,4.162049237372757
2016,ABW,0.6395939086294415,0.6387101406309852,0.0008837679984563529,0.0013836761658164276,-6.582288981976891,6.582288981976891
2017,ABW,0.6294416243654822,0.6378731831606342,0.008431558795152005,0.013218236818444057,-4.326082175540878,4.326082175540878
2018,ABW,0.6446700507614213,0.6404305068914822,0.0042395438699390775,0.006619834352546618,-5.017533881847092,5.017533881847092
2019,ABW,0.6446700507614213,0.6434179612995216,0.001252089461899697,0.0019459970613360433,-6.241467061922416,6.241467061922416
2020,ABW,0.6598984771573604,0.6445497228799351,0.015348754277425325,0.023813142310953175,-3.7374756600344523,3.7374756600344523
2021,ABW,0.6446700507614213,0.6417403024418092,0.0029297483196120133,0.004565317634663708,-5.389048168102728,5.389048168102728
2022,ABW,0.6446700507614213,0.6353600114786186,0.009310039282802607,0.014653171610747353,-4.223030232466249,4.223030232466249
2023,ABW,0.6142131979695431,0.6262479212149756,0.012034723245432533,0.01921718673665873,-3.951898222416087,3.951898222416087
2024,ABW,0.6142131979695431,0.616732709160741,0.002519511191197865,0.004085256309214495,-5.500126055916157,5.500126055916157
2005,AFG,0.844559585492228,0.8359547501890962,0.00860483530313183,0.010293422342758844,-4.576153050542022,4.576153050542022
2006,AFG,0.8512820512820513,0.8567079736331914,0.005425922351140144,0.006333456111222458,-5.061751323476841,5.061751323476841
2007,AFG,0.841025641025641,0.8788379707257878,0.03781232970014681,0.0430253709553759,-3.145942073234698,3.145942073234698
2008,AFG,0.9128205128205128,0.902853367539204,0.00996714528130882,0.011039605809385237,-4.506175365600195,4.506175365600195
2009,AFG,0.9435897435897436,0.9232128173937348,0.020376926196008727,0.02207175400091776,-3.813411281681172,3.813411281681172
2010,AFG,0.953846153846154,0.9359697168546853,0.01787643699146868,0.019099375406655492,-3.958047289323989,3.958047289323989
2011,AFG,0.9441624365482232,0.940437770678722,0.0037246658695011536,0.003960566010458119,-5.531115874701938,5.531115874701938
2012,AFG,0.9289340101522842,0.9387909135411462,0.009856903388862026,0.010499572638258188,-4.556325486328776,4.556325486328776
2013,AFG,0.9390862944162436,0.9337990266563789,0.005287267759864656,0.0056621045952431415,-5.173783022085818,5.173783022085818
2014,AFG,0.9187817258883249,0.9266548866966233,0.007873160808298474,0.008496324706563665,-4.768003905431297,4.768003905431297
2015,AFG,0.9289340101522842,0.9193972331756615,0.009536776976622696,0.010372858034042599,-4.568466287931355,4.568466287931355
2016,AFG,0.883248730964467,0.9128050998779478,0.02955636891348079,0.03237971492209323,-3.4301922518505936,3.4301922518505936
2017,AFG,0.9187817258883249,0.9091834049041965,0.009598320984128383,0.010557078948377626,-4.550863935020336,4.550863935020336
2018,AFG,0.9137055837563453,0.9061080473289648,0.00759753642738048,0.008384801845405281,-4.781215259727469,4.781215259727469
2019,AFG,0.898477157360406,0.9026906575842712,0.004213500223865241,0.004667712231719742,-5.366871998707355,5.366871998707355
2020,AFG,0.9086294416243654,0.8992584719305157,0.009370969693849762,0.010420774433998152,-4.563857965984163,4.563857965984163
2021,AFG,0.8883248730964466,0.8954645665922784,0.007139693495831767,0.007973172543277864,-4.831547392023084,4.831547392023084
2022,AFG,0.883248730964467,0.8924613729451559,0.00921264198068894,0.010322734697510634,-4.573309695101191,4.573309695101191
2023,AFG,0.9035532994923856,0.8902589714054113,0.013294328086974283,0.014933102068027613,-4.204107951784536,4.204107951784536
2024,AFG,0.883248730964467,0.887393419672398,0.004144688707931055,0.004670632682244999,-5.366246657641832,5.366246657641832
2005,AGO,0.8186528497409327,0.8634970373356808,0.044844187594748175,0.05193322693163473,-2.9577772277191143,2.9577772277191143
2006,AGO,0.964102564102564,0.847041076792975,0.11706148730958899,0.13820048462443096,-1.9790426251271733,1.9790426251271733
2007,AGO,0.7948717948717948,0.8234100462351095,0.02853825136331467,0.034658614494443636,-3.3621801172480605,3.3621801172480605
2008,AGO,0.7487179487179487,0.8041587136164586,0.05544076489850991,0.06894256564003637,-2.6744669983136315,2.6744669983136315
2009,AGO,0.7692307692307693,0.7962757266732666,0.027044957442497353,0.033964312280982824,-3.382415502181732,3.382415502181732
2010,AGO,0.8,0.7978792107580163,0.002120789241983778,0.002658032962118346,-5.929792770363961,5.929792770363961
2011,AGO,0.8426395939086294,0.8027600980323911,0.03987949587623829,0.04967797474486477,-3.002173478750524,3.002173478750524
2012,AGO,0.8020304568527918,0.805048646936792,0.003018190084000172,0.0037490778917328503,-5.585978668086774,5.585978668086774
2013,AGO,0.7918781725888324,0.8052558352518178,0.013377662662985346,0.0166129347684912,-4.097513491870593,4.097513491870593
2014,AGO,0.8274111675126903,0.8034097303446266,0.02400143716806369,0.029874466615892433,-3.5107176499104304,3.5107176499104304
2015,AGO,0.8071065989847716,0.7973979735562998,0.009708625428471729,0.012175382620013966,-4.4082570542423785,4.4082570542423785
2016,AGO,0.7766497461928933,0.7889484361748091,0.012298689981915856,0.015588712034902629,-4.161144067224635,4.161144067224635
2017,AGO,0.8172588832487309,0.7813423695566816,0.03591651369204929,0.04596770262494228,-3.0797944917736473,3.0797944917736473
2018,AGO,0.7614213197969543,0.7758932346613382,0.014471914864383928,0.01865194103761019,-3.9817514489384753,3.9817514489384753
2019,AGO,0.700507614213198,0.7796611346389282,0.0791535204257302,0.1015229782646371,-2.287460269339884,2.287460269339884
2020,AGO,0.8121827411167513,0.7973906662612985,0.014792074855452753,0.018550599450590396,-3.987199269894243,3.987199269894243
2021,AGO,0.83248730964467,0.8211618630321794,0.011325446612490575,0.013791978320413983,-4.283595633671764,4.283595633671764
2022,AGO,0.8680203045685279,0.8454214904321736,0.02259881413635423,0.026730825265397346,-3.62190046588777,3.62190046588777
