REF_AREA,COUNTERPART_AREA,weight
ABW,AFG,0.00016614475589062528
ABW,AGO,0.005228497005651158
ABW,AIA,5.910086811916016e-05
ABW,ALB,2.0597761675601893e-05
ABW,ANT_F,0.005286059925474357
ABW,ARE,0.00372140371342859
ABW,ARG,0.0003456481709755576
ABW,ARM,9.064492642177984e-06
ABW,ATG,9.427623054241823e-05
ABW,AUS,0.0041504603947172015
ABW,AUT,0.0008893128935978226
ABW,AZE,6.912708214117063e-05
ABW,BDI,1.0202171425303828e-05
ABW,BEL,0.003857005084798684
ABW,BEN,3.543258259677471e-05
ABW,BFA,0.0001969735674966517
ABW,BGD,0.0002723457942684523
ABW,BGR,0.000158839837281381
ABW,BHR,0.00018190033100994775
ABW,BHS,0.0006400457260727802
ABW,BIH,0.00015215950029451398
ABW,BLR,7.013984459982102e-05
ABW,BLZ,0.000516291929326726
ABW,BMU,0.002357379236725806
ABW,BOL,1.1486257513460032e-05
ABW,BRA,0.0027566440462201665
ABW,BRB,0.0026165745656740774
ABW,BRN,3.43150516079191e-05
ABW,BTN,6.977852748924149e-07
ABW,BWA,3.4156555626326595e-05
ABW,CAF,7.3257379966568455e-06
ABW,CAN,0.007430710019584188
ABW,CHE,0.01713660433438934
ABW,CHL,0.0006239462952645792
ABW,CHN,0.0029413818582565052
ABW,CIV,4.956357390477404e-06
ABW,CMR,7.931447851734294e-05
ABW,COD,4.410822280953719e-05
ABW,COG,0.0003557220681106743
ABW,COL,0.0006469785820811675
ABW,COM,5.548702542022264e-06
ABW,CPV,1.1516479204865382e-05
ABW,CRI,8.416673897075746e-05
ABW,CUB,3.514581232499505e-05
ABW,CYM,0.004518903108536959
ABW,CYP,0.0010314253604829134
ABW,CZE,0.0007260660621163992
ABW,DEU,0.01044507054665319
ABW,DJI,0.00012296870436265755
ABW,DMA,6.573150721349395e-05
ABW,DNK,0.0017556304380018854
ABW,DOM,6.507737549285373e-05
ABW,DZA,0.00014982974368373263
ABW,ECU,0.00010004118607627434
ABW,EGY,0.0008386076113510687
ABW,ERI,1.2492304040687017e-05
ABW,ESP,0.00334491934332244
ABW,EST,7.693569560717072e-05
ABW,ETH,8.988401139150738e-05
ABW,FIN,0.001658017732728317
ABW,FJI,1.2948987377478973e-05
ABW,FRA,0.006121612459620916
ABW,FRO,1.2145761979239003e-05
ABW,GAB,0.00016922468204140162
ABW,GBR,0.02335559108371829
ABW,GEO,5.1329863869131166e-05
ABW,GHA,0.00017359675339804226
ABW,GIN,9.64092103624936e-05
ABW,GMB,8.348574352442358e-06
ABW,GNB,1.0374099269743151e-05
ABW,GNQ,4.761864016455418e-05
ABW,GRC,0.0004274690351001176
ABW,GRD,9.996663923747448e-06
ABW,GTM,2.9190795931856417e-05
ABW,GUY,0.00045792242613957527
ABW,HKG,0.007762168770648364
ABW,HND,2.1717307443884525e-05
ABW,HRV,0.00013507014119450202
ABW,HTI,2.4157205330009786e-05
ABW,HUN,0.0008038728140291864
ABW,IDN,0.0008551946187806094
ABW,IND,0.002272797453193082
ABW,IRL,0.03072616531015097
ABW,IRN,3.150913545921793e-05
ABW,IRQ,0.00034801687998859467
ABW,ISL,9.476649353632725e-05
ABW,ISR,0.0008756641061660242
ABW,ITA,0.0037774951726769193
ABW,JAM,0.00013245630068451045
ABW,JOR,5.6221076724801475e-05
ABW,JPN,0.01039232899399886
ABW,KAZ,0.000325767670775976
ABW,KEN,0.00017157458644645313
ABW,KGZ,7.197463706469692e-06
ABW,KHM,5.026874670423221e-06
ABW,KIR,2.9818735519945353e-07
ABW,KNA,0.00043342942423839494
ABW,KOR,0.002565327979354596
ABW,KWT,7.432252669032147e-05
ABW,LAO,9.63601840631027e-06
ABW,LBN,0.00042686057171315646
ABW,LBR,0.00012300899995119801
ABW,LBY,5.381475849579327e-06
ABW,LCA,4.28113764516765e-05
ABW,LKA,4.549842061418329e-05
