Year,United States,United Kingdom,Ireland,India,Germany,China (People’s Republic of),Singapore,France,Netherlands,Luxembourg
2005,16.57,14.65,3.96,3.05,6.63,1.41,1.31,5.75,6.59,2.64
2006,16.50,14.48,4.00,3.59,6.60,1.49,1.65,5.41,5.83,3.00
2007,16.49,14.44,4.04,3.71,6.47,2.36,1.72,5.27,5.75,3.07
2008,16.18,12.77,4.02,4.13,6.66,2.56,1.80,5.36,5.90,2.83
2009,17.12,12.04,4.10,3.82,7.02,2.67,1.89,5.05,5.97,2.69
2010,17.79,11.74,4.24,4.54,6.32,3.01,2.08,5.10,5.27,2.04
2011,17.45,11.76,4.32,4.57,6.35,3.43,2.26,5.18,5.02,1.97
2012,17.84,11.44,3.98,4.75,6.31,3.25,2.52,5.13,4.61,1.97
2013,17.39,11.19,4.37,4.62,6.44,3.42,2.72,5.41,4.57,2.06
2014,16.86,10.81,4.59,4.34,6.59,3.73,2.86,5.43,5.08,2.16
2015,17.27,10.59,4.98,4.49,6.33,3.57,3.14,5.10,5.16,3.13
2016,17.30,10.03,5.47,4.44,6.57,3.46,3.10,5.30,4.74,3.06
2017,17.42,9.77,6.16,4.55,6.58,3.49,3.33,4.88,5.15,3.05
2018,16.12,10.05,6.33,4.56,6.58,4.07,3.64,5.07,5.41,3.05
2019,16.38,9.37,6.93,4.59,6.26,4.22,3.73,4.66,5.63,3.06
2020,16.48,9.58,8.11,4.76,6.28,4.49,3.98,4.24,4.63,3.05
2021,15.79,9.48,8.17,4.86,6.41,4.82,4.03,4.40,4.26,3.26
2022,15.95,9.25,7.88,5.73,6.05,4.97,4.28,4.27,4.50,2.77
2023,15.44,9.91,7.98,5.79,5.89,4.71,4.44,4.39,4.52,2.65
2024,14.19,10.13,9.19,5.92,5.85,4.62,4.60,4.44,4.37,2.83
