Year,LCC_Initial,LCC_After,Resilience
2005,131,118,0.9007633587786259
2006,132,121,0.9166666666666666
2007,130,118,0.9076923076923077
2008,130,118,0.9076923076923077
2009,132,120,0.9090909090909091
2010,129,118,0.9147286821705426
2011,125,115,0.92
2012,127,115,0.905511811023622
2013,128,116,0.90625
2014,127,115,0.905511811023622
2015,125,113,0.904
2016,122,110,0.9016393442622951
2017,121,107,0.8842975206611571
2018,116,108,0.9310344827586207
2019,118,109,0.923728813559322
2020,110,103,0.9363636363636364
2021,112,105,0.9375
2022,118,110,0.9322033898305084
2023,119,109,0.9159663865546218
2024,125,114,0.912
