Rank,Country,Digital_Export_Value_MillionUSD,Digital_Export_Value_BillionUSD,Share_of_Global_Pct
1,United States,711743.51002,711.74351002,14.193311055481479
2,United Kingdom,507738.218419,507.73821841899996,10.125117218946414
3,Ireland,460668.632556,460.66863255600003,9.186473923993885
4,India,296902.40428,296.90240428000004,5.920711770098109
5,Germany,293527.177069,293.527177069,5.853404307488015
6,China (People’s Republic of),231537.022336,231.537022336,4.61722085640439
7,Singapore,230723.571879,230.723571879,4.600999345141013
8,France,222834.468069,222.834468069,4.443677918604693
9,Netherlands,219271.051169,219.271051169,4.372617650727241
10,Luxembourg,141959.833882,141.959833882,2.8309075549070855
11,Japan,127244.482746,127.24448274599999,2.5374597706652424
12,Switzerland,125889.677241,125.889677241,2.5104427684988253
13,Belgium,94954.921979,94.954921979,1.8935539628019242
14,Canada,88310.169077,88.310169077,1.7610468960044354
15,Spain,88238.662276,88.238662276,1.7596209353108887
16,Sweden,76288.356892,76.288356892,1.5213126133729185
17,Israel,70772.852792,70.77285279200001,1.411324585077608
18,Italy,68135.079063,68.13507906299999,1.3587231317413881
19,Korea,63885.446497,63.885446497,1.2739786191022113
20,Poland,58259.426984,58.259426984,1.161786735610399
