category,test,sample,variable,coef,pval,se,note
稳健性,S0_基准,全样本(交互项),L1_Exposure,0.10336113085754157,0.00016196933140499858,0.027368656753943083,
稳健性,S1_剔除危机年,全样本(交互项),L1_Exposure,0.09403124731323945,0.006257675807617824,0.034360445598955805,
稳健性,S2_缩尾处理,全样本(交互项),L1_Exposure,0.0982142429933888,0.0004286022731472272,0.02785708347026851,
稳健性,S3_双向聚类SE,全样本(交互项),L1_Exposure,0.10336113085754157,0.000814669852275296,0.030844136247227785,
稳健性,S0_基准,边缘组(Bottom33%),L1_Exposure,0.021008522218093198,0.03497104640374227,0.009948986490174122,
稳健性,S1_剔除危机年,边缘组(Bottom33%),L1_Exposure,0.02483126256682283,0.03808238028839406,0.011949737869974409,
稳健性,S2_缩尾处理,边缘组(Bottom33%),L1_Exposure,0.0243105070103797,0.03340237191882456,0.011412245299846666,
稳健性,S3_双向聚类SE,边缘组(Bottom33%),L1_Exposure,0.021008522218093198,0.016058144991205614,0.008710837903895837,
稳健性,S0_基准,核心组(Top33%),L1_Exposure,-0.005441625808246761,0.4334774613495478,0.006944702190483534,
稳健性,S1_剔除危机年,核心组(Top33%),L1_Exposure,0.00020307475878649948,0.9803041036417572,0.00822293992858545,
稳健性,S2_缩尾处理,核心组(Top33%),L1_Exposure,-0.002040729263932766,0.7917396256792792,0.007726476196768553,
稳健性,S3_双向聚类SE,核心组(Top33%),L1_Exposure,-0.005441625808246761,0.37515762567506106,0.0061331877472480525,
内生性,E1_反向回归,全样本(交互项),L1_Resilience->Exposure,0.0527509020253686,0.42089198022475927,0.06553051629865193,PASS(无反向因果)
内生性,E2_前置项F1,全样本(交互项),F1_Exposure,0.0035806786166577027,0.6536635968061557,0.00797967179185292,PASS
内生性,E2_前置项L1,全样本(交互项),L1_Exposure(同模型),0.1000198749719326,0.0010271861271773375,0.03043526836945217,
内生性,E3_Oster_delta,全样本(交互项),L1_Exposure,0.10336113085754157,0.0,0.0,delta=-95.09 PASS(遗漏变量低估效应)
内生性,E1_反向回归,边缘组(Bottom33%),L1_Resilience->Exposure,0.12361124366062877,0.15201544025754554,0.08622654360670189,PASS(无反向因果)
内生性,E2_前置项F1,边缘组(Bottom33%),F1_Exposure,0.005661782806493783,0.7865025767318143,0.020897264409795696,PASS
内生性,E2_前置项L1,边缘组(Bottom33%),L1_Exposure(同模型),0.017071683566611533,0.1904517230142435,0.013029706792333876,
内生性,E3_Oster_delta,边缘组(Bottom33%),L1_Exposure,0.021008522218093198,0.0,0.0,delta=-67.12 PASS(遗漏变量低估效应)
内生性,E1_反向回归,核心组(Top33%),L1_Resilience->Exposure,0.03137827508317593,0.820747416761229,0.1384484995030005,PASS(无反向因果)
内生性,E2_前置项F1,核心组(Top33%),F1_Exposure,0.0034902905666526415,0.7027887736692284,0.009144709530933604,PASS
内生性,E2_前置项L1,核心组(Top33%),L1_Exposure(同模型),-0.007325192033318296,0.5487383746885317,0.01221139229873149,
内生性,E3_Oster_delta,核心组(Top33%),L1_Exposure,-0.005441625808246761,0.0,0.0,delta=1.63 PASS(高度稳健)
