Country,Out_Degree,Out_Centrality,In_Degree
Ireland,201,1.0,191
India,200,0.9950248756218906,184
United States,200,0.9950248756218906,194
Singapore,200,0.9950248756218906,192
Brazil,199,0.9900497512437811,178
China (People’s Republic of),199,0.9900497512437811,188
United Kingdom,198,0.9850746268656716,191
Switzerland,198,0.9850746268656716,194
Luxembourg,198,0.9850746268656716,175
Korea,197,0.9800995024875622,178
Japan,197,0.9800995024875622,191
Canada,195,0.9701492537313433,186
Israel,194,0.9651741293532339,149
France,194,0.9651741293532339,190
Germany,193,0.9601990049751243,192
United Arab Emirates,192,0.9552238805970149,191
Hong Kong (China),191,0.9502487562189055,186
Norway,189,0.9402985074626866,165
Spain,189,0.9402985074626866,182
Australia,188,0.9353233830845771,181
Philippines,185,0.9203980099502488,129
Thailand,185,0.9203980099502488,164
Netherlands,185,0.9203980099502488,188
Chinese Taipei,182,0.9054726368159204,162
Malaysia,179,0.8905472636815921,162
Indonesia,179,0.8905472636815921,154
Sweden,178,0.8855721393034826,167
Ukraine,175,0.8706467661691543,107
Türkiye,174,0.8656716417910447,155
Bahrain,173,0.8606965174129353,132
Belgium,172,0.8557213930348259,174
Cuba,170,0.845771144278607,75
Kuwait,170,0.845771144278607,106
Denmark,169,0.8407960199004975,168
Colombia,167,0.8308457711442786,122
Finland,163,0.8109452736318408,144
Qatar,163,0.8109452736318408,168
South Africa,162,0.8059701492537313,160
Latvia,162,0.8059701492537313,111
Morocco,162,0.8059701492537313,112
Austria,160,0.7960199004975125,153
Ghana,159,0.7910447761194029,129
Egypt,159,0.7910447761194029,133
Cayman Islands,159,0.7910447761194029,145
Italy,156,0.7761194029850746,183
Cyprus,155,0.7711442786069652,154
Uruguay,155,0.7711442786069652,108
Pakistan,152,0.7562189054726368,93
Mexico,152,0.7562189054726368,162
Tunisia,150,0.746268656716418,88
Saudi Arabia,149,0.7412935323383084,184
Viet Nam,149,0.7412935323383084,127
Malta,147,0.7313432835820896,139
Portugal,147,0.7313432835820896,150
Kazakhstan,145,0.7213930348258707,130
